0.510459,-0.164292,0.049334
0.878136,-0.103399,0.049334
1.132510,-0.052899,0.049334
1.292753,-0.026395,0.049334
1.391285,-0.016608,0.049334
1.449505,-0.016152,0.049334
1.482151,-0.016152,0.049334
1.425278,1.419633,0.149252
1.601913,1.582816,0.149252
1.621568,1.603926,0.149252
-2.719682,1.511689,0.249630
-3.432144,0.724628,0.249630
-3.510757,0.581034,0.249630
-3.438501,0.594155,0.249630
-3.352824,0.625031,0.249630
-3.286171,0.656032,0.249630
-3.241307,0.678932,0.249630
-3.214013,0.693075,0.249630
-0.672737,-0.068623,0.054739
-0.145842,0.238345,-0.000010
-0.007112,0.269948,-0.000010
0.008730,0.240109,-0.000010
0.008730,0.194220,-0.000010
0.008730,0.158506,-0.000010
0.008730,0.132369,-0.000010
0.008730,0.113840,-0.000010
